sample	unit	fq1	fq2
SAMEA6141236	ERR3632912	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/002/ERR3632912/ERR3632912_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/002/ERR3632912/ERR3632912_2.fastq.gz
SAMEA6141237	ERR3632915	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/005/ERR3632915/ERR3632915_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/005/ERR3632915/ERR3632915_2.fastq.gz
SAMN28197091	SRR19174503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR19174503/SRR19174503_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/003/SRR19174503/SRR19174503_2.fastq.gz
SAMN28197058	SRR19174538	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/038/SRR19174538/SRR19174538_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/038/SRR19174538/SRR19174538_2.fastq.gz
SAMN28197057	SRR19174539	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/039/SRR19174539/SRR19174539_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/039/SRR19174539/SRR19174539_2.fastq.gz
SAMN28197056	SRR19174540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/040/SRR19174540/SRR19174540_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/040/SRR19174540/SRR19174540_2.fastq.gz
SAMN28197053	SRR19174544	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/044/SRR19174544/SRR19174544_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/044/SRR19174544/SRR19174544_2.fastq.gz
SAMN28197052	SRR19174545	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/045/SRR19174545/SRR19174545_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/045/SRR19174545/SRR19174545_2.fastq.gz
SAMN28197051	SRR19174546	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/046/SRR19174546/SRR19174546_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/046/SRR19174546/SRR19174546_2.fastq.gz
SAMN28197060	SRR19174536	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/036/SRR19174536/SRR19174536_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/036/SRR19174536/SRR19174536_2.fastq.gz
SAMN28197035	SRR19174554	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/054/SRR19174554/SRR19174554_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/054/SRR19174554/SRR19174554_2.fastq.gz
SAMEA6141235	ERR3632910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/000/ERR3632910/ERR3632910_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/000/ERR3632910/ERR3632910_2.fastq.gz
SAMN28197042	SRR19174499	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/099/SRR19174499/SRR19174499_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/099/SRR19174499/SRR19174499_2.fastq.gz
SAMN28197059	SRR19174537	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/037/SRR19174537/SRR19174537_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/037/SRR19174537/SRR19174537_2.fastq.gz
SAMN28197088	SRR19174505	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/005/SRR19174505/SRR19174505_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/005/SRR19174505/SRR19174505_2.fastq.gz
SAMN28197043	SRR19174498	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/098/SRR19174498/SRR19174498_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/098/SRR19174498/SRR19174498_2.fastq.gz
SAMN28197049	SRR19174548	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/048/SRR19174548/SRR19174548_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/048/SRR19174548/SRR19174548_2.fastq.gz
SAMN28197054	SRR19174543	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/043/SRR19174543/SRR19174543_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/043/SRR19174543/SRR19174543_2.fastq.gz
SAMN28197062	SRR19174534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/034/SRR19174534/SRR19174534_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/034/SRR19174534/SRR19174534_2.fastq.gz
SAMN28197070	SRR19174525	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/025/SRR19174525/SRR19174525_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/025/SRR19174525/SRR19174525_2.fastq.gz
SAMN28197048	SRR19174549	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/049/SRR19174549/SRR19174549_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/049/SRR19174549/SRR19174549_2.fastq.gz
SAMN28197044	SRR19174497	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/097/SRR19174497/SRR19174497_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/097/SRR19174497/SRR19174497_2.fastq.gz
SAMN28197089	SRR19174504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR19174504/SRR19174504_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/004/SRR19174504/SRR19174504_2.fastq.gz
SAMN28197055	SRR19174541	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/041/SRR19174541/SRR19174541_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR191/041/SRR19174541/SRR19174541_2.fastq.gz
