,accession,study_accession,pmid/doi,apis_species,apis_subspecies,geographic_location_manually_curated,continent,sex_manually_curated,class_manually_curated,sampling_year_manually_curated,pooled_samples,notes,read_count,base_count,depth,sample_average_depth,library_strategy,coverage,library_source,library_layout,run_accession,xref_articles,SRA accession,experiment_accession,parent_study,experiment_title,study_title,project_name,sample_title,sample_description,tax_id,instrument_platform,instrument_model,nominal_length,nominal_sdev,fastq_aspera,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_md5,sra_aspera,sra_bytes,sra_ftp,sra_galaxy,sra_md5,submitted_aspera,submitted_bytes,submitted_format,submitted_ftp,submitted_galaxy,submitted_host_sex,submitted_md5,first_created,first_public,last_updated
0,SAMD00082726,PRJDB5799,33304549,cerana,japonica,China,Asia,male,drone,,unknown,,156405688,31281137600,136.998595710352,89.9734161104688,WGS,,GENOMIC,PAIRED,DRR095707,http://europepmc.org/abstract/PMC/PMC7713975,DRS047400,DRX089203,PRJNA78079,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00082726,"Genome sequencing of Japanese honey bee, Apis cerana japonica",Analysis of sequences Japanese honeybee,Apis cerana japonica drone,Apis cerana japonica drone,292787,ILLUMINA,Illumina HiSeq 2500,1000.0,0.0,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR095/DRR095707/DRR095707_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR095/DRR095707/DRR095707_2.fastq.gz,13242031382;13688348553,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095707/DRR095707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095707/DRR095707_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095707/DRR095707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095707/DRR095707_2.fastq.gz,0aac3a8a53080a26292644211f45cc40;9264a2fc574e76fcf17736b488cc324f,fasp.sra.ebi.ac.uk:/vol1/drr/DRR095/DRR095707,20831842310.0,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095707,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095707,859add4058ae64982e62f71bea83b6e4,,,,,,,,2017-06-20,2017-06-20,2017-06-20
1,SAMD00082726,PRJDB5799,33304549,cerana,japonica,China,Asia,male,drone,,unknown,,150124782,30024956400,131.497035551051,89.9734161104688,WGS,,GENOMIC,PAIRED,DRR095708,http://europepmc.org/abstract/PMC/PMC7713975,DRS047400,DRX089204,PRJNA78079,Illumina HiSeq 2500 paired end sequencing; Illumina HiSeq 2500 paired end sequencing of SAMD00082726,"Genome sequencing of Japanese honey bee, Apis cerana japonica",Analysis of sequences Japanese honeybee,Apis cerana japonica drone,Apis cerana japonica drone,292787,ILLUMINA,Illumina HiSeq 2500,1000.0,0.0,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR095/DRR095708/DRR095708_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR095/DRR095708/DRR095708_2.fastq.gz,12448159140;12705090887,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095708/DRR095708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095708/DRR095708_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095708/DRR095708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR095/DRR095708/DRR095708_2.fastq.gz,52b7702c5125e6378f7a3f21a2760dd1;2432b12db3017bf0f78a0ab88ba787d5,fasp.sra.ebi.ac.uk:/vol1/drr/DRR095/DRR095708,19507347506.0,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095708,ftp.sra.ebi.ac.uk/vol1/drr/DRR095/DRR095708,e4a414f0094551bb1346a1fc14ae3694,,,,,,,,2017-06-20,2017-06-20,2017-06-20
2,SAMN02954476,PRJNA174631,33947700,dorsata,unknown,Maylasia,Asia,unknown,unknown,2007,unknown,,37344322,9336080500,40.5317077758009,25.2592638747759,WGS,,GENOMIC,PAIRED,SRR1564144,http://europepmc.org/abstract/PMC/PMC8256857,SRS681900,SRX679067,PRJNA174724,Illumina Genome Analyzer IIx paired end sequencing; Whole genome sequencing of Apis dorsata: 500bp insert library,Apis dorsata Genome Sequencing Project,,"Apis dorsata, adult male(s)","Apis dorsata, adult male(s)",7462,ILLUMINA,Illumina Genome Analyzer IIx,500.0,50.0,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_2.fastq.gz,3921752608;4055465345,ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1564144/SRR1564144_2.fastq.gz,759c851bde4c45471557374828f2a6d8;744b70fe9a04405138214c0928ec27f3,fasp.sra.ebi.ac.uk:/vol1/srr/SRR156/004/SRR1564144,6245316368.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR156/004/SRR1564144,ftp.sra.ebi.ac.uk/vol1/srr/SRR156/004/SRR1564144,daf29c422d7397abd22a5a123f95d7aa,,,,,,,,2015-06-05,2015-06-05,2016-06-28
3,SAMN02954476,PRJNA174631,33947700,dorsata,unknown,Maylasia,Asia,unknown,unknown,2007,unknown,,31725597,7931399250,34.4334173911853,25.2592638747759,WGS,,GENOMIC,PAIRED,SRR1575110,http://europepmc.org/abstract/PMC/PMC8256857,SRS681900,SRX679070,PRJNA174724,Illumina Genome Analyzer IIx paired end sequencing; Whole genome sequencing of Apis dorsata: 1200bp insert library,Apis dorsata Genome Sequencing Project,,"Apis dorsata, adult male(s)","Apis dorsata, adult male(s)",7462,ILLUMINA,Illumina Genome Analyzer IIx,1200.0,100.0,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_2.fastq.gz,3257463819;3183931500,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1575110/SRR1575110_2.fastq.gz,2bc19d24363eecd87e8862cfe2d4379e;a2706cebd13fc1c6f90cc6b997934a2f,fasp.sra.ebi.ac.uk:/vol1/srr/SRR157/000/SRR1575110,5021150261.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1575110,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1575110,faab3e2eca4b88bf82e444cdcd8b84a2,,,,,,,,2015-06-05,2015-06-05,2016-06-28
4,SAMN02954476,PRJNA174631,33947700,dorsata,unknown,Maylasia,Asia,unknown,unknown,2007,unknown,,19231283,4327038675,18.7854279008936,25.2592638747759,WGS,,GENOMIC,PAIRED,SRR1575111,http://europepmc.org/abstract/PMC/PMC8256857,SRS681900,SRX679071,PRJNA174724,Illumina Genome Analyzer IIx paired end sequencing; Whole genome sequencing of Apis dorsata: 3kb-insert mate-pair library,Apis dorsata Genome Sequencing Project,,"Apis dorsata, adult male(s)","Apis dorsata, adult male(s)",7462,ILLUMINA,Illumina Genome Analyzer IIx,3000.0,500.0,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_2.fastq.gz,1952268303;1801941624,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1575111/SRR1575111_2.fastq.gz,7ab91734ea307ee6d4b570822c833768;1e24cd202385b877d38741bd911a24f5,fasp.sra.ebi.ac.uk:/vol1/srr/SRR157/001/SRR1575111,3015535945.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/001/SRR1575111,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/001/SRR1575111,1a98f5a1db868e310f4006e61b386596,,,,,,,,2015-06-05,2015-06-05,2016-06-28
5,SAMN02954476,PRJNA174631,33947700,dorsata,unknown,Maylasia,Asia,unknown,unknown,2007,unknown,,23310753,1678374216,7.28650243122377,25.2592638747759,WGS,,GENOMIC,PAIRED,SRR1575122,http://europepmc.org/abstract/PMC/PMC8256857,SRS681900,SRX679073,PRJNA174724,Illumina HiSeq 2000 paired end sequencing; Whole genome sequencing of Apis dorsata: 5kb-insert mate-pair library,Apis dorsata Genome Sequencing Project,,"Apis dorsata, adult male(s)","Apis dorsata, adult male(s)",7462,ILLUMINA,Illumina HiSeq 2000,5200.0,500.0,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_2.fastq.gz,743641375;801301914,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1575122/SRR1575122_2.fastq.gz,a5870923be7e9f27dc044fd78aecd179;7a6d709b4ba470ff102fb55b27a475f8,fasp.sra.ebi.ac.uk:/vol1/srr/SRR157/002/SRR1575122,997757377.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/002/SRR1575122,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/002/SRR1575122,42fea147af94303a9f67fbc5c52dc42c,,,,,,,,2015-06-05,2015-06-05,2016-06-28
6,SAMN03437060,PRJNA279147,unknown,cerana,unknown,Unknown,Unknown,unknown,unknown,,unknown,not mellifera,259208,78280816,0.342837974762798,0.342837974762798,WGS,,GENOMIC,PAIRED,SRR1931155,,SRS884698,SRX969480,PRJNA78079,"Illumina Genome Analyzer IIx sequencing; Complete mitochondrial genome of Apis cerana collected from Mizoram, India","Complete mitochondrial genome of Apis cerana collected from Mizoram, India",,"Complete mitochondrial genome of Apis cerana collected from Mizoram, India","Complete mitochondrial genome of Apis cerana collected from Mizoram, India",7461,ILLUMINA,Illumina Genome Analyzer IIx,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_2.fastq.gz,20708434;21085279,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931155/SRR1931155_2.fastq.gz,8d45345789d72108aeefced7b090a3a2;2fd2471dac808fb71f31c8cb05752a09,fasp.sra.ebi.ac.uk:/vol1/srr/SRR193/005/SRR1931155,39098929.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/005/SRR1931155,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/005/SRR1931155,e8631192e18a06654e89a786cc0b93d0,,,,,,,,2016-03-27,2016-03-27,2016-06-27
7,SAMN03437062,PRJNA279125,unknown,florea,unknown,"Mizoram, India",Asia,unknown,unknown,2016,unknown,not mellifera,233920,70643840,0.308468057716197,0.308468057716197,WGS,,GENOMIC,PAIRED,SRR1931179,,SRS884976,SRX969760,PRJNA45889,Illumina HiSeq 4000 sequencing; Complete mitochondrial genome of Apis florea,Apis florea Genome sequencing and assembly,,This sample has been submitted by pda|nskumarmzu on 2016-01-03; Apis florea,"Complete mitochondrial genome of Apis florea collected from Mizoram, India",7463,ILLUMINA,Illumina HiSeq 4000,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_2.fastq.gz,18968313;20526378,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/009/SRR1931179/SRR1931179_2.fastq.gz,f5d4caf7d9cfda9471f7e932a58fd7d9;1a83c3ba7e88b80101a350d44d4d9783,fasp.sra.ebi.ac.uk:/vol1/srr/SRR193/009/SRR1931179,36034081.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/009/SRR1931179,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/009/SRR1931179,bd7a1816aeeb480164b038594f8e90e1,,,,,,,,2016-03-27,2016-03-27,2016-06-27
8,SAMN03437126,PRJNA279127,unknown,andreniformis,unknown,Unknown,Unknown,unknown,unknown,,unknown,not mellifera,265470,80171940,0.35592286510183,0.35592286510183,WGS,,GENOMIC,PAIRED,SRR1931181,,SRS884978,SRX969766,PRJNA504333,Illumina HiSeq 4000 sequencing; Complete mitochondrial genome of Apis andreniformis,Apis andreniformis Genome sequencing and assembly,,"Complete mitochondrial genome of Apis andreniformis collected from Mizoram, India","Complete mitochondrial genome of Apis andreniformis collected from Mizoram, India",7464,ILLUMINA,Illumina HiSeq 4000,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_2.fastq.gz,21829845;22313865,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/001/SRR1931181/SRR1931181_2.fastq.gz,1f3cc0e685f607ac1572eef62c10469c;f8ee4160d95b7bab1be410420fd4d178,fasp.sra.ebi.ac.uk:/vol1/srr/SRR193/001/SRR1931181,40380755.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/001/SRR1931181,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/001/SRR1931181,37384c18d2440820f6ea35986d12dc06,,,,,,,,2016-03-27,2016-03-27,2016-06-27
9,SAMN03437128,PRJNA279131,unknown,laboriosa,unknown,Unknown,Unknown,unknown,unknown,,unknown,not mellifera,209339,63220378,0.27963868597709,0.27963868597709,WGS,,GENOMIC,PAIRED,SRR1931165,,SRS884955,SRX969738,PRJNA307463,HiSeq X Five sequencing; Complete mitochondrial genome of Apis laboriosa_MZ collected from Mizoram,Apis laboriosa Genome sequencing and assembly,,This sample has been submitted by pda|nskumarmzu on 2016-01-02; Apis laboriosa,"Complete mitochondrial genome of Apis laboriosa collected from Mizoram, India",183418,ILLUMINA,HiSeq X Five,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_2.fastq.gz,18413167;18965667,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR193/005/SRR1931165/SRR1931165_2.fastq.gz,2a944be771f1d14f4ad586510c27a799;92049b991f9f3ccd2861987532562ecd,fasp.sra.ebi.ac.uk:/vol1/srr/SRR193/005/SRR1931165,32396711.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/005/SRR1931165,ftp.sra.ebi.ac.uk/vol1/srr/SRR193/005/SRR1931165,81f259856cc2cf215bfbc47fe8b14702,,,,,,,,2016-01-02,2016-01-02,2016-06-27
